Ano	Rod	Pos	Clb	Pts	Vit	Emp	Der	GP	GC	SG	Adv	Home	Pts(ac)	Vit(ac)	Emp(ac)	Der(ac)	GP(ac)	GC(ac)	SG(ac)
2003	1	1	Athletico-PR	3	1	0	0	2	0	2	Gremio	True	3	1	0	0	2	0	2
2003	1	2	Atletico-MG	3	1	0	0	3	0	3	Corinthians	False	3	1	0	0	3	0	3
2003	1	5	Bahia	1	0	1	0	0	0	0	Fortaleza	False	1	0	1	0	0	0	0
2003	1	21	Corinthians	0	0	0	1	0	3	-3	Atletico-MG	True	0	0	0	1	0	3	-3
2003	1	6	Coritiba	1	0	1	0	1	1	0	Flamengo	False	1	0	1	0	1	1	0
2003	1	3	Criciuma	3	1	0	0	2	0	2	Fluminense	True	3	1	0	0	2	0	2
2003	1	7	Cruzeiro	1	0	1	0	2	2	0	Sao-Caetano	True	1	0	1	0	2	2	0
2003	1	8	Figueirense	1	0	1	0	1	1	0	Vitoria	False	1	0	1	0	1	1	0
2003	1	9	Flamengo	1	0	1	0	1	1	0	Coritiba	True	1	0	1	0	1	1	0
2003	1	22	Fluminense	0	0	0	1	0	2	-2	Criciuma	False	0	0	0	1	0	2	-2
2003	1	10	Fortaleza	1	0	1	0	0	0	0	Bahia	True	1	0	1	0	0	0	0
2003	1	11	Goias	1	0	1	0	2	2	0	Paysandu	True	1	0	1	0	2	2	0
2003	1	23	Gremio	0	0	0	1	0	2	-2	Athletico-PR	False	0	0	0	1	0	2	-2
2003	1	4	Guarani	3	1	0	0	4	2	2	Vasco	True	3	1	0	0	4	2	2
2003	1	12	Internacional	1	0	1	0	1	1	0	Ponte-Preta	True	1	0	1	0	1	1	0
2003	1	13	Juventude	1	0	1	0	2	2	0	Sao-Paulo	True	1	0	1	0	2	2	0
2003	1	14	Parana	1	0	1	0	2	2	0	Santos	False	1	0	1	0	2	2	0
2003	1	15	Paysandu	1	0	1	0	2	2	0	Goias	False	1	0	1	0	2	2	0
2003	1	16	Ponte-Preta	1	0	1	0	1	1	0	Internacional	False	1	0	1	0	1	1	0
2003	1	17	Santos	1	0	1	0	2	2	0	Parana	True	1	0	1	0	2	2	0
2003	1	18	Sao-Caetano	1	0	1	0	2	2	0	Cruzeiro	False	1	0	1	0	2	2	0
2003	1	19	Sao-Paulo	1	0	1	0	2	2	0	Juventude	False	1	0	1	0	2	2	0
2003	1	24	Vasco	0	0	0	1	2	4	-2	Guarani	False	0	0	0	1	2	4	-2
2003	1	20	Vitoria	1	0	1	0	1	1	0	Figueirense	True	1	0	1	0	1	1	0
2003	2	9	Athletico-PR	0	0	0	1	0	3	-3	Parana	False	3	1	0	1	2	3	-1
2003	2	1	Atletico-MG	1	0	1	0	0	0	0	Santos	True	4	1	1	0	3	0	3
2003	2	17	Bahia	0	0	0	1	1	2	-1	Flamengo	True	1	0	1	1	1	2	-1
2003	2	23	Corinthians	1	0	1	0	3	3	0	Figueirense	False	1	0	1	1	3	6	-3
2003	2	18	Coritiba	0	0	0	1	0	1	-1	Internacional	True	1	0	1	1	1	2	-1
2003	2	10	Criciuma	0	0	0	1	2	3	-1	Sao-Caetano	False	3	1	0	1	4	3	1
2003	2	2	Cruzeiro	3	1	0	0	4	2	2	Sao-Paulo	False	4	1	1	0	6	4	2
2003	2	14	Figueirense	1	0	1	0	3	3	0	Corinthians	True	2	0	2	0	4	4	0
2003	2	3	Flamengo	3	1	0	0	2	1	1	Bahia	False	4	1	1	0	3	2	1
2003	2	24	Fluminense	1	0	1	0	1	1	0	Fortaleza	True	1	0	1	1	1	3	-2
2003	2	15	Fortaleza	1	0	1	0	1	1	0	Fluminense	False	2	0	2	0	1	1	0
2003	2	19	Goias	0	0	0	1	4	6	-2	Vasco	False	1	0	1	1	6	8	-2
2003	2	12	Gremio	3	1	0	0	3	1	2	Guarani	True	3	1	0	1	3	3	0
2003	2	11	Guarani	0	0	0	1	1	3	-2	Gremio	False	3	1	0	1	5	5	0
2003	2	4	Internacional	3	1	0	0	1	0	1	Coritiba	False	4	1	1	0	2	1	1
2003	2	20	Juventude	0	0	0	1	0	1	-1	Ponte-Preta	False	1	0	1	1	2	3	-1
2003	2	5	Parana	3	1	0	0	3	0	3	Athletico-PR	True	4	1	1	0	5	2	3
2003	2	21	Paysandu	0	0	0	1	1	2	-1	Vitoria	True	1	0	1	1	3	4	-1
2003	2	6	Ponte-Preta	3	1	0	0	1	0	1	Juventude	True	4	1	1	0	2	1	1
2003	2	16	Santos	1	0	1	0	0	0	0	Atletico-MG	False	2	0	2	0	2	2	0
2003	2	7	Sao-Caetano	3	1	0	0	3	2	1	Criciuma	True	4	1	1	0	5	4	1
2003	2	22	Sao-Paulo	0	0	0	1	2	4	-2	Cruzeiro	True	1	0	1	1	4	6	-2
2003	2	13	Vasco	3	1	0	0	6	4	2	Goias	True	3	1	0	1	8	8	0
2003	2	8	Vitoria	3	1	0	0	2	1	1	Paysandu	False	4	1	1	0	3	2	1
2003	3	15	Athletico-PR	0	0	0	1	1	2	-1	Atletico-MG	True	3	1	0	2	3	5	-2
2003	3	1	Atletico-MG	3	1	0	0	2	1	1	Athletico-PR	False	7	2	1	0	5	1	4
2003	3	21	Bahia	0	0	0	1	0	2	-2	Internacional	False	1	0	1	2	1	4	-3
2003	3	14	Corinthians	3	1	0	0	6	1	5	Paysandu	True	4	1	1	1	9	7	2
2003	3	22	Coritiba	0	0	0	1	1	2	-1	Juventude	False	1	0	1	2	2	4	-2
2003	3	11	Criciuma	1	0	1	0	1	1	0	Sao-Paulo	True	4	1	1	1	5	4	1
2003	3	2	Cruzeiro	3	1	0	0	3	0	3	Ponte-Preta	True	7	2	1	0	9	4	5
2003	3	18	Figueirense	0	0	0	1	0	2	-2	Santos	False	2	0	2	1	4	6	-2
2003	3	3	Flamengo	3	1	0	0	4	1	3	Fluminense	True	7	2	1	0	7	3	4
2003	3	24	Fluminense	0	0	0	1	1	4	-3	Flamengo	False	1	0	1	2	2	7	-5
2003	3	17	Fortaleza	1	0	1	0	1	1	0	Sao-Caetano	True	3	0	3	0	2	2	0
2003	3	19	Goias	1	0	1	0	1	1	0	Gremio	True	2	0	2	1	7	9	-2
2003	3	12	Gremio	1	0	1	0	1	1	0	Goias	False	4	1	1	1	4	4	0
2003	3	6	Guarani	3	1	0	0	2	0	2	Parana	True	6	2	0	1	7	5	2
2003	3	4	Internacional	3	1	0	0	2	0	2	Bahia	True	7	2	1	0	4	1	3
2003	3	13	Juventude	3	1	0	0	2	1	1	Coritiba	True	4	1	1	1	4	4	0
2003	3	9	Parana	0	0	0	1	0	2	-2	Guarani	False	4	1	1	1	5	4	1
2003	3	23	Paysandu	0	0	0	1	1	6	-5	Corinthians	False	1	0	1	2	4	10	-6
2003	3	10	Ponte-Preta	0	0	0	1	0	3	-3	Cruzeiro	False	4	1	1	1	2	4	-2
2003	3	8	Santos	3	1	0	0	2	0	2	Figueirense	True	5	1	2	0	4	2	2
2003	3	7	Sao-Caetano	1	0	1	0	1	1	0	Fortaleza	False	5	1	2	0	6	5	1
2003	3	20	Sao-Paulo	1	0	1	0	1	1	0	Criciuma	False	2	0	2	1	5	7	-2
2003	3	16	Vasco	0	0	0	1	1	2	-1	Vitoria	False	3	1	0	2	9	10	-1
2003	3	5	Vitoria	3	1	0	0	2	1	1	Vasco	True	7	2	1	0	5	3	2
2003	4	16	Athletico-PR	1	0	1	0	1	1	0	Figueirense	False	4	1	1	2	4	6	-2
2003	4	1	Atletico-MG	3	1	0	0	3	2	1	Guarani	True	10	3	1	0	8	3	5
2003	4	18	Bahia	3	1	0	0	3	1	2	Juventude	True	4	1	1	2	4	5	-1
2003	4	13	Corinthians	1	0	1	0	2	2	0	Vasco	False	5	1	2	1	11	9	2
2003	4	24	Coritiba	0	0	0	1	3	4	-1	Cruzeiro	True	1	0	1	3	5	8	-3
2003	4	12	Criciuma	1	0	1	0	1	1	0	Ponte-Preta	False	5	1	2	1	6	5	1
2003	4	2	Cruzeiro	3	1	0	0	4	3	1	Coritiba	False	10	3	1	0	13	7	6
2003	4	22	Figueirense	1	0	1	0	1	1	0	Athletico-PR	True	3	0	3	1	5	7	-2
2003	4	3	Flamengo	1	0	1	0	1	1	0	Sao-Caetano	False	8	2	2	0	8	4	4
2003	4	20	Fluminense	3	1	0	0	3	1	2	Internacional	True	4	1	1	2	5	8	-3
2003	4	21	Fortaleza	0	0	0	1	1	3	-2	Sao-Paulo	False	3	0	3	1	3	5	-2
